BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,162, ,A3, 160 NICOLOSI DRIVE                        ,            ,10312,1,0,1,"10,480","5,707",1989, 1 , A3 ,$10,12/6/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,162, ,A3, 160 NICOLOSI DRIVE                        ,            ,10312,1,0,1,"10,480","5,707",1989, 1 , A3 ,$10,12/6/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,165, ,A3, 545 ARBUTUS AVENUE                        ,            ,10312,1,0,1,"10,100","5,432",1989, 1 , A3 ,"$1,300,000",4/25/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,175, ,A3, 150 NICOLOSI DRIVE                        ,            ,10312,1,0,1,"46,527","11,500",1988, 1 , A3 ,"$4,250,000",7/2/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,522, ,A5, 351 ARBUTUS AVENUE                        ,            ,10312,1,0,1,"1,547","1,939",2011, 1 , A5 ,"$461,320",7/18/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,528, ,A5, 343 ARBUTUS AVENUE                        ,            ,10312,1,0,1,"3,369","1,922",2011, 1 , A5 ,"$465,426",9/14/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,530, ,A5, 5198 HYLAN BOULEVARD                      ,            ,10312,1,0,1,"2,151","2,121",2011, 1 , A5 ,"$496,860",8/9/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,533, ,A5, 5192 HYLAN BOULEVARD                      ,            ,10312,1,0,1,"2,216","2,121",2011, 1 , A5 ,"$499,000",8/1/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6499,111, ,A1, 35 WENDY DRIVE                            ,            ,10312,1,0,1,"13,600","2,663",1985, 1 , A1 ,"$830,000",1/3/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6517,66, ,A9, 189 ARBUTUS AVENUE                        ,            ,10312,1,0,1,"21,680","6,290",1991, 1 , A9 ,$0,12/31/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6517,66, ,A9, 189 ARBUTUS AVENUE                        ,            ,10312,1,0,1,"21,680","6,290",1991, 1 , A9 ,$0,2/10/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6205,91, ,B9, 31 SEGUINE PLACE                          ,            ,10312,2,0,2,"3,250","1,804",1986, 1 , B9 ,"$400,000",4/16/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6209,26, ,B2, 211 MOSELY AVENUE                         ,            ,10312,2,0,2,"2,444","2,092",2007, 1 , B2 ,$0,7/10/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6209,26, ,B2, 211 MOSELY AVENUE                         ,            ,10312,2,0,2,"2,444","2,092",2007, 1 , B2 ,"$410,000",7/10/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6212,37, ,B9, 49 LUCY LOOP                              ,            ,10312,2,0,2,"5,670","2,220",2000, 1 , B9 ,"$468,000",6/22/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6214,61, ,B2, 100 EAGAN AVENUE                          ,            ,10312,2,0,2,"5,500","1,925",1930, 1 , B2 ,"$560,000",7/30/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6215,9, ,B2, 169 BARCLAY AVENUE                        ,            ,10312,2,0,2,"4,000","2,870",2012, 1 , B2 ,$0,9/14/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6215,12, ,B2, 165 BARCLAY AVENUE                        ,            ,10312,2,0,2,"4,000","2,870",2012, 1 , B2 ,$0,9/14/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6221,42, ,B9, 16 RALPH AVENUE                           ,            ,10312,2,0,2,"2,400","2,230",2004, 1 , B9 ,$0,12/14/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6221,42, ,B9, 16 RALPH AVENUE                           ,            ,10312,2,0,2,"2,400","2,230",2004, 1 , B9 ,"$480,000",11/21/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6221,44, ,B9, 18 RALPH AVENUE                           ,            ,10312,2,0,2,"2,400","2,230",2004, 1 , B9 ,"$470,000",5/31/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1B,6221,59, ,V0, 19 JEANNETTE AVENUE                       ,            ,10312,2,0,2,"8,880",0,1925, 1 , B2 ,"$525,500",6/8/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6227,70, ,B2, 940 CARLTON BOULEVARD                     ,            ,10312,2,0,2,"3,875","3,398",2011, 1 , B2 ,"$700,000",6/4/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6229,47, ,B2, 123 EDGEGROVE AVENUE                      ,            ,10312,2,0,2,"5,000","4,910",2002, 1 , B2 ,"$655,000",7/12/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6229,50, ,B2, 135 EDGEGROVE AVENUE                      ,            ,10312,2,0,2,"8,000","4,910",2002, 1 , B2 ,$0,10/25/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6229,50, ,B2, 135 EDGEGROVE AVENUE                      ,            ,10312,2,0,2,"8,000","4,910",2002, 1 , B2 ,$0,3/29/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6229,50, ,B2, 135 EDGEGROVE AVENUE                      ,            ,10312,2,0,2,"8,000","4,910",2002, 1 , B2 ,$0,2/15/2012
